coverage,risk_state,state_sold_indication
Physical Damage,AK,-0.029989961
Physical Damage,AL,0.308281585
Physical Damage,AR,0.003008414
Physical Damage,AZ,0.234135407
Physical Damage,CA,0.141693052
Physical Damage,CO,0.061478978
Physical Damage,CT,0.23126013
Physical Damage,DC,0.136271422
Physical Damage,DE,0.15651374
Physical Damage,FL,0.13944991
Physical Damage,GA,0.157411057
Physical Damage,HI,0.048758918
Physical Damage,IA,0.041406518
Physical Damage,ID,0.143576625
Physical Damage,IL,-0.075779003
Physical Damage,IN,0.055449721
Physical Damage,KS,0.181384596
Physical Damage,KY,0.084572686
Physical Damage,LA,0.16497874
Physical Damage,MA,0.044183249
Physical Damage,MD,0.157392626
Physical Damage,ME,0.074080789
Physical Damage,MI,0.124751503
Physical Damage,MN,0.027211061
Physical Damage,MO,0.136797189
Physical Damage,MS,0.079654206
Physical Damage,MT,0.027766049
Physical Damage,NC,0.078479581
Physical Damage,ND,0.046423286
Physical Damage,NE,0.168673256
Physical Damage,NH,0.029408809
Physical Damage,NJ,0.244856436
Physical Damage,NM,-0.085676482
Physical Damage,NV,0.209986324
Physical Damage,NY,0.209742513
Physical Damage,OH,0.086828104
Physical Damage,OK,0.173976661
Physical Damage,OR,0.100165436
Physical Damage,PA,0.128133874
Physical Damage,RI,0.06669557
Physical Damage,SC,0.109629498
Physical Damage,SD,0.106694775
Physical Damage,TN,0.037460766
Physical Damage,TX,0.081166368
Physical Damage,UT,0.115583206
Physical Damage,VA,0.077545958
Physical Damage,VT,0.02849968
Physical Damage,WA,0.011090169
Physical Damage,WI,0.118851876
Physical Damage,WV,0.016109032
Physical Damage,WY,-0.046423863
